product_code;price_gross;vat;currency;stock;name
GITB1173;862.92;21;EUR;1;Schecter J-4 Diamond Series | Sea Foam Green
GITB1174;1618.92;21;EUR;1;Schecter USA Traditional J-Bass Wembley 2017 | Sunburst
GITB922;1672.92;21;EUR;1;Smitty Custom Classic Boutique SC | Flamed Amber Burst
GITB1162;1078.92;21;EUR;1;Solar V1.6 Kirk Windstein Signature 2021 | Matte White
GITB1073;895.32;21;EUR;1;Stanford CR Marquee Classic 2022 | Amber
GITB1054;2752.92;21;EUR;1;The Heritage H-535 Semi Hollow 1993 | Natural
GITB997;1402.92;21;EUR;1;Tobias Growler V 2024 | Naturel
GITB1167;1564.92;21;EUR;1;Tokai ULS129 Vintage Series 2024 | Violin Finish
GITB884;592.92;21;EUR;1;Yamaha CPX 700 II | Dusk Sun Red
GITB1142;1240.92;21;EUR;1;Yamaha TRB1006J 2020 6-String | Translucent Black
